Crossing ID,Google Maps,County,City,Route,Street,Urban Rural,MPO,RPO,Primary RR,Trains Per Day,TPD Source,TPD Year,Train Speed,Total Tracks,Warning Device,Is Shortline RR,Is Amtrak Service,Road Class,Road Lanes,Road Speed,AADT,AADT Truck,AADT Year,Crashes 5yrs,Crashes PDO,Crashes Injury,Crashes Fatal,Blocked Reports,Lat WGS84,LonWGS84,ObjectId,x,y
513695F,"https://www.google.com/maps/@41.05787338,-83.64536482,200m/data=!3m1!1e3",HANCOCK,FINDLAY,MR 199,E FOULKE AVE,Urban,None,None,CSX - CSX Transportation,7,PUCO/FRA,2021,35,1,Lights and Gates,No,No,7 - Local,2,25,1354,41,2020,0,0,0,0,0,41.05787338,-83.64536482,2142,-9311359.41898,5020881.72548801
265076N,"https://www.google.com/maps/@41.0174455,-81.7296869,200m/data=!3m1!1e3",MEDINA,WADSWORTH,SR 94,S MAIN ST,Urban,"Northeast Ohio Areawide Coordinating Agency (Cleveland, Lorain-Elyria)",None,AB - Akron Barberton Cluster Railway Company,0,PUCO/FRA,2021,10,1,Lights and Gates,Yes,No,4 - Minor Arterial,2,35,6558,155,2021,0,0,0,0,0,41.0174455,-81.7296869,3224,-9098107.12840168,5014915.21175521
142017V,"https://www.google.com/maps/@40.94006851,-81.70466902,200m/data=!3m1!1e3",WAYNE,RITTMAN,CR 95,COAL BANK RD,Rural,Akron Metropolitan Area Transportation Study (Akron),None,CSX - CSX Transportation,21,PUCO/FRA,2022,60,2,Lights and Gates,No,No,7 - Local,2,45,266,14,2021,0,0,0,0,0,40.94006851,-81.70466902,5385,-9095322.15073935,5003505.79765304
142353E,"https://www.google.com/maps/@41.27967138,-84.34654469,200m/data=!3m1!1e3",DEFIANCE,DEFIANCE,MR 209,RAVINE AVE,Urban,None,Maumee Valley Planning Organization,CSX - CSX Transportation,39,PUCO/FRA,2023,60,2,Lights and Gates,No,No,7 - Local,2,25,407,13,2020,0,0,0,0,1,41.27967138,-84.34654469,1647,-9389414.40506289,5053681.05968344
477045B,"https://www.google.com/maps/@40.47609804,-84.63337107,200m/data=!3m1!1e3",MERCER,COLDWATER,MR 297,W SYCAMORE ST,Rural,None,None,RJCW - R. J. Corman Western Ohio Line,2,FRA,2019,25,1,Flashing Lights,Yes,No,7 - Local,2,25,1125,34,2020,0,0,0,0,0,40.47609804,-84.63337107,3568,-9421343.77163057,4935370.67588036
258648V,"https://www.google.com/maps/@40.5082511,-84.06304524,200m/data=!3m1!1e3",AUGLAIZE,JACKSON CENTER,CR 108 A,GEYER DR,Rural,None,None,IORY - Indiana & Ohio Railway,4,FRA,2017,25,1,Crossbucks,Yes,No,7 - Local,2,45,75,4,2020,0,0,0,0,0,40.5082511,-84.06304524,568,-9357855.39064872,4940077.16834014
155658P,"https://www.google.com/maps/@40.66470758,-84.1379855,200m/data=!3m1!1e3",ALLEN,LIMA,TR 144,W HUME RD,Urban,Lima-Allen County Regional Planning Commission (Lima),None,CSX - CSX Transportation,16,PUCO/FRA,2022,60,1,Lights and Gates,No,No,7 - Local,2,25,1350,38,2021,0,0,0,0,0,40.66470758,-84.1379855,322,-9366197.70223184,4963011.19387718
513778U,"https://www.google.com/maps/@40.57682007,-83.57502448,200m/data=!3m1!1e3",HARDIN,KENTON,TR 265,TR 265,Rural,None,None,CSX - CSX Transportation,9,PUCO/FRA,2022,50,1,Crossbucks,No,No,7 - Local,2,45,94,5,2020,0,0,0,0,0,40.57682007,-83.57502448,2729,-9303529.16814897,4950121.68307351
142587H,"https://www.google.com/maps/@40.58797687,-81.5225854,200m/data=!3m1!1e3",TUSCARAWAS,STRASBURG,CR 102,FORT LAURENS RD NW,Urban,None,Ohio Mid-Eastern Governments Association,RJCL - R. J. Corman Cleveland Line,1,FRA,2019,25,1,Lights and Gates,Yes,No,6 - Minor Collector,2,55,1490,105,2021,0,0,0,0,0,40.58797687,-81.5225854,4057,-9075052.69487916,4951756.99105122
532679X,"https://www.google.com/maps/@40.77070224,-83.82320969,200m/data=!3m1!1e3",HARDIN,ADA,SR 235,MAIN ST,Urban,None,None,"CFE - Chicago, Ft. Wayne & Eastern",12,PUCO/FRA,2017,40,1,Lights and Gates,Yes,No,5 - Major Collector,2,25,6110,581,2021,0,0,0,0,5,40.77070224,-83.82320969,2978,-9331157.0193486,4978578.90096082
