Edition,Name,Footnote,Type,Designation,d,W,A,tw,tw/2,bf,tf,T,k,k1,bf/2tf,h/tw,Fy''',X1,X2x10^6,Ix,Zx,Sx,rx,y,yp,Iy,Zy,Sy,ry,x,xp,rz,maxf,Grip,eo,Qs36,Qs50,Qs36c,Qs50c,Qs36s,Qs50s,Astem,tan(alpha),twstem,twstem/2,OD,ID,twall,J,t,Iy',Sy',ry',sched,Anet36,d1A36,IxA36,SxA36,rxA36,y1A36,ryA36,AnetASTM,d1ASTM,IxASTM,SxASTM,rxASTM,y1ASTM,ryASTM,d/t,ry0,ry1_4,ry3_8,ry1_2,ry5_8,ry3_4,d/Af,rT,Fy'',Cw,Fy',Cc50',Cc36',a,Wno,Sw,Qf,Qw,B,Ht / t,Ht,tnom,tdes,b / t,C,ro,H,ddet,bfdet,twdet,tfdet,kdes,kdet,B/t,Sz,Qs
13th,HSS7X0.188,0,HSS,HSS7X0.188,0,13.69,3.73,0,0,0,0,0,0,0,0,0,0,0,0,21.7,8.11,6.21,2.41,0,0,21.7,8.11,6.21,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0.174,0,12.4,0,0,0,0,0,0,0,0,0,0,0
13th,HSS7X0.125,0,HSS,HSS7X0.125,0,9.19,2.51,0,0,0,0,0,0,0,0,0,0,0,0,14.9,5.5,4.25,2.43,0,0,14.9,5.5,4.25,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,29.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.116,0,8.49,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6.875X0.500,0,HSS,HSS6.875X0.500,0,34.07,9.36,0,0,0,0,0,0,0,0,0,0,0,0,48.3,19.1,14.1,2.27,0,0,48.3,19.1,14.1,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875,0,0,96.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.465,0,28.1,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6.875X0.375,0,HSS,HSS6.875X0.375,0,26.06,7.16,0,0,0,0,0,0,0,0,0,0,0,0,38.2,14.9,11.1,2.31,0,0,38.2,14.9,11.1,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875,0,0,76.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.349,0,22.2,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6.875X0.312,0,HSS,HSS6.875X0.312,0,21.89,6.02,0,0,0,0,0,0,0,0,0,0,0,0,32.7,12.6,9.51,2.33,0,0,32.7,12.6,9.51,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875,0,0,65.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312,0.291,0,19,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6.875X0.250,0,HSS,HSS6.875X0.250,0,17.71,4.86,0,0,0,0,0,0,0,0,0,0,0,0,26.8,10.3,7.81,2.35,0,0,26.8,10.3,7.81,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875,0,0,53.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.233,0,15.6,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6.875X0.188,0,HSS,HSS6.875X0.188,0,13.44,3.66,0,0,0,0,0,0,0,0,0,0,0,0,20.6,7.81,5.99,2.37,0,0,20.6,7.81,5.99,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875,0,0,41.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0.174,0,12,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6.625X0.500,0,HSS,HSS6.625X0.500,0,32.74,9,0,0,0,0,0,0,0,0,0,0,0,0,42.9,17.7,13,2.18,0,0,42.9,17.7,13,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.625,0,0,85.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.465,0,25.9,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6.625X0.432,0,HSS,HSS6.625X0.432,0,28.6,7.86,0,0,0,0,0,0,0,0,0,0,0,0,38.2,15.6,11.5,2.2,0,0,38.2,15.6,11.5,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.625,0,0,76.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432,0.402,0,23.1,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6.625X0.375,0,HSS,HSS6.625X0.375,0,25.06,6.88,0,0,0,0,0,0,0,0,0,0,0,0,34,13.8,10.3,2.22,0,0,34,13.8,10.3,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.625,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.349,0,20.5,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6.625X0.312,0,HSS,HSS6.625X0.312,0,21.06,5.79,0,0,0,0,0,0,0,0,0,0,0,0,29.1,11.7,8.79,2.24,0,0,29.1,11.7,8.79,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.625,0,0,58.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312,0.291,0,17.6,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6.625X0.280,0,HSS,HSS6.625X0.280,0,18.99,5.2,0,0,0,0,0,0,0,0,0,0,0,0,26.4,10.5,7.96,2.25,0,0,26.4,10.5,7.96,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.625,0,0,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.26,0,15.9,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6.625X0.250,0,HSS,HSS6.625X0.250,0,17.04,4.68,0,0,0,0,0,0,0,0,0,0,0,0,23.9,9.52,7.22,2.26,0,0,23.9,9.52,7.22,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.625,0,0,47.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.233,0,14.4,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6.625X0.188,0,HSS,HSS6.625X0.188,0,12.94,3.53,0,0,0,0,0,0,0,0,0,0,0,0,18.4,7.24,5.54,2.28,0,0,18.4,7.24,5.54,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.625,0,0,36.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0.174,0,11.1,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6.625X0.125,0,HSS,HSS6.625X0.125,0,8.69,2.37,0,0,0,0,0,0,0,0,0,0,0,0,12.6,4.92,3.79,2.3,0,0,12.6,4.92,3.79,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.625,0,0,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.116,0,7.59,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6X0.500,0,HSS,HSS6X0.500,0,29.4,8.09,0,0,0,0,0,0,0,0,0,0,0,0,31.2,14.3,10.4,1.96,0,0,31.2,14.3,10.4,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,62.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.465,0,20.8,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6X0.375,0,HSS,HSS6X0.375,0,22.55,6.2,0,0,0,0,0,0,0,0,0,0,0,0,24.8,11.2,8.28,2,0,0,24.8,11.2,8.28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,49.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.349,0,16.6,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6X0.312,0,HSS,HSS6X0.312,0,18.97,5.22,0,0,0,0,0,0,0,0,0,0,0,0,21.3,9.49,7.11,2.02,0,0,21.3,9.49,7.11,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312,0.291,0,14.2,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6X0.280,0,HSS,HSS6X0.280,0,17.12,4.69,0,0,0,0,0,0,0,0,0,0,0,0,19.3,8.57,6.45,2.03,0,0,19.3,8.57,6.45,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,38.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.26,0,12.9,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6X0.250,0,HSS,HSS6X0.250,0,15.37,4.22,0,0,0,0,0,0,0,0,0,0,0,0,17.6,7.75,5.86,2.04,0,0,17.6,7.75,5.86,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,35.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.233,0,11.7,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6X0.188,0,HSS,HSS6X0.188,0,11.68,3.18,0,0,0,0,0,0,0,0,0,0,0,0,13.5,5.91,4.51,2.06,0,0,13.5,5.91,4.51,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0.174,0,9.02,0,0,0,0,0,0,0,0,0,0,0
13th,HSS6X0.125,0,HSS,HSS6X0.125,0,7.85,2.14,0,0,0,0,0,0,0,0,0,0,0,0,9.28,4.02,3.09,2.08,0,0,9.28,4.02,3.09,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.116,0,6.19,0,0,0,0,0,0,0,0,0,0,0
13th,HSS5.563X0.500,0,HSS,HSS5.563X0.500,0,27.06,7.45,0,0,0,0,0,0,0,0,0,0,0,0,24.4,12.1,8.77,1.81,0,0,24.4,12.1,8.77,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.563,0,0,48.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.465,0,17.5,0,0,0,0,0,0,0,0,0,0,0
13th,HSS5.563X0.375,0,HSS,HSS5.563X0.375,0,20.8,5.72,0,0,0,0,0,0,0,0,0,0,0,0,19.5,9.5,7.02,1.85,0,0,19.5,9.5,7.02,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.563,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.349,0,14,0,0,0,0,0,0,0,0,0,0,0
13th,HSS5.563X0.258,0,HSS,HSS5.563X0.258,0,14.63,4.01,0,0,0,0,0,0,0,0,0,0,0,0,14.2,6.8,5.12,1.88,0,0,14.2,6.8,5.12,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.563,0,0,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,0.24,0,10.2,0,0,0,0,0,0,0,0,0,0,0
13th,HSS5.563X0.188,0,HSS,HSS5.563X0.188,0,10.8,2.95,0,0,0,0,0,0,0,0,0,0,0,0,10.7,5.05,3.85,1.91,0,0,10.7,5.05,3.85,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.563,0,0,21.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0.174,0,7.7,0,0,0,0,0,0,0,0,0,0,0
13th,HSS5.563X0.134,0,HSS,HSS5.563X0.134,0,7.78,2.12,0,0,0,0,0,0,0,0,0,0,0,0,7.84,3.67,2.82,1.92,0,0,7.84,3.67,2.82,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.563,0,0,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134,0.124,0,5.64,0,0,0,0,0,0,0,0,0,0,0
13th,HSS5.500X0.500,0,HSS,HSS5.500X0.500,0,26.73,7.36,0,0,0,0,0,0,0,0,0,0,0,0,23.5,11.8,8.55,1.79,0,0,23.5,11.8,8.55,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.465,0,17.1,0,0,0,0,0,0,0,0,0,0,0
13th,HSS5.500X0.375,0,HSS,HSS5.500X0.375,0,20.55,5.65,0,0,0,0,0,0,0,0,0,0,0,0,18.8,9.27,6.84,1.83,0,0,18.8,9.27,6.84,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,37.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.349,0,13.7,0,0,0,0,0,0,0,0,0,0,0
13th,HSS5.500X0.258,0,HSS,HSS5.500X0.258,0,14.46,3.97,0,0,0,0,0,0,0,0,0,0,0,0,13.7,6.64,5,1.86,0,0,13.7,6.64,5,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,0.24,0,10,0,0,0,0,0,0,0,0,0,0,0
13th,HSS5X0.500,0,HSS,HSS5X0.500,0,24.05,6.62,0,0,0,0,0,0,0,0,0,0,0,0,17.2,9.6,6.88,1.61,0,0,17.2,9.6,6.88,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,34.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.465,0,13.8,0,0,0,0,0,0,0,0,0,0,0
13th,HSS5X0.375,0,HSS,HSS5X0.375,0,18.54,5.1,0,0,0,0,0,0,0,0,0,0,0,0,13.9,7.56,5.55,1.65,0,0,13.9,7.56,5.55,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.349,0,11.1,0,0,0,0,0,0,0,0,0,0,0
13th,HSS5X0.312,0,HSS,HSS5X0.312,0,15.64,4.3,0,0,0,0,0,0,0,0,0,0,0,0,12,6.46,4.79,1.67,0,0,12,6.46,4.79,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312,0.291,0,9.58,0,0,0,0,0,0,0,0,0,0,0
13th,HSS5X0.258,0,HSS,HSS5X0.258,0,13.08,3.59,0,0,0,0,0,0,0,0,0,0,0,0,10.2,5.44,4.08,1.69,0,0,10.2,5.44,4.08,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,0.24,0,8.15,0,0,0,0,0,0,0,0,0,0,0
13th,HSS5X0.250,0,HSS,HSS5X0.250,0,12.69,3.49,0,0,0,0,0,0,0,0,0,0,0,0,9.94,5.3,3.97,1.69,0,0,9.94,5.3,3.97,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.233,0,7.95,0,0,0,0,0,0,0,0,0,0,0
13th,HSS5X0.188,0,HSS,HSS5X0.188,0,9.67,2.64,0,0,0,0,0,0,0,0,0,0,0,0,7.69,4.05,3.08,1.71,0,0,7.69,4.05,3.08,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0.174,0,6.15,0,0,0,0,0,0,0,0,0,0,0
13th,HSS5X0.125,0,HSS,HSS5X0.125,0,6.51,1.78,0,0,0,0,0,0,0,0,0,0,0,0,5.31,2.77,2.12,1.73,0,0,5.31,2.77,2.12,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.116,0,4.25,0,0,0,0,0,0,0,0,0,0,0
13th,HSS4.500X0.375,0,HSS,HSS4.500X0.375,0,16.54,4.55,0,0,0,0,0,0,0,0,0,0,0,0,9.87,6.03,4.39,1.47,0,0,9.87,6.03,4.39,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.349,0,8.78,0,0,0,0,0,0,0,0,0,0,0
13th,HSS4.500X0.337,0,HSS,HSS4.500X0.337,0,15,4.12,0,0,0,0,0,0,0,0,0,0,0,0,9.07,5.5,4.03,1.48,0,0,9.07,5.5,4.03,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337,0.313,0,8.06,0,0,0,0,0,0,0,0,0,0,0
13th,HSS4.500X0.237,0,HSS,HSS4.500X0.237,0,10.8,2.96,0,0,0,0,0,0,0,0,0,0,0,0,6.79,4.03,3.02,1.52,0,0,6.79,4.03,3.02,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0.22,0,6.04,0,0,0,0,0,0,0,0,0,0,0
13th,HSS4.500X0.188,0,HSS,HSS4.500X0.188,0,8.67,2.36,0,0,0,0,0,0,0,0,0,0,0,0,5.54,3.26,2.46,1.53,0,0,5.54,3.26,2.46,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0.174,0,4.93,0,0,0,0,0,0,0,0,0,0,0
13th,HSS4.500X0.125,0,HSS,HSS4.500X0.125,0,5.85,1.6,0,0,0,0,0,0,0,0,0,0,0,0,3.84,2.23,1.71,1.55,0,0,3.84,2.23,1.71,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.116,0,3.41,0,0,0,0,0,0,0,0,0,0,0
13th,HSS4X0.313,0,HSS,HSS4X0.313,0,12.34,3.39,0,0,0,0,0,0,0,0,0,0,0,0,5.87,4.01,2.93,1.32,0,0,5.87,4.01,2.93,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313,0.291,0,5.87,0,0,0,0,0,0,0,0,0,0,0
13th,HSS4X0.250,0,HSS,HSS4X0.250,0,10,2.76,0,0,0,0,0,0,0,0,0,0,0,0,4.91,3.31,2.45,1.33,0,0,4.91,3.31,2.45,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.233,0,4.91,0,0,0,0,0,0,0,0,0,0,0
13th,HSS4X0.237,0,HSS,HSS4X0.237,0,9.53,2.61,0,0,0,0,0,0,0,0,0,0,0,0,4.68,3.15,2.34,1.34,0,0,4.68,3.15,2.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0.22,0,4.68,0,0,0,0,0,0,0,0,0,0,0
13th,HSS4X0.226,0,HSS,HSS4X0.226,0,9.12,2.5,0,0,0,0,0,0,0,0,0,0,0,0,4.5,3.02,2.25,1.34,0,0,4.5,3.02,2.25,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,0.21,0,4.5,0,0,0,0,0,0,0,0,0,0,0
13th,HSS4X0.220,0,HSS,HSS4X0.220,0,8.89,2.44,0,0,0,0,0,0,0,0,0,0,0,0,4.41,2.96,2.21,1.34,0,0,4.41,2.96,2.21,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.205,0,4.41,0,0,0,0,0,0,0,0,0,0,0
13th,HSS4X0.188,0,HSS,HSS4X0.188,0,7.66,2.09,0,0,0,0,0,0,0,0,0,0,0,0,3.83,2.55,1.92,1.35,0,0,3.83,2.55,1.92,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0.174,0,3.83,0,0,0,0,0,0,0,0,0,0,0
13th,HSS4X0.125,0,HSS,HSS4X0.125,0,5.18,1.42,0,0,0,0,0,0,0,0,0,0,0,0,2.67,1.75,1.34,1.37,0,0,2.67,1.75,1.34,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.116,0,2.67,0,0,0,0,0,0,0,0,0,0,0
13th,HSS3.500X0.313,0,HSS,HSS3.500X0.313,0,10.66,2.93,0,0,0,0,0,0,0,0,0,0,0,0,3.81,3,2.18,1.14,0,0,3.81,3,2.18,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313,0.291,0,4.35,0,0,0,0,0,0,0,0,0,0,0
13th,HSS3.500X0.300,0,HSS,HSS3.500X0.300,0,10.26,2.82,0,0,0,0,0,0,0,0,0,0,0,0,3.69,2.9,2.11,1.14,0,0,3.69,2.9,2.11,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.279,0,4.22,0,0,0,0,0,0,0,0,0,0,0
