Edition,Name,Footnote,Type,Designation,d,W,A,tw,tw/2,bf,tf,T,k,k1,bf/2tf,h/tw,Fy''',X1,X2x10^6,Ix,Zx,Sx,rx,y,yp,Iy,Zy,Sy,ry,x,xp,rz,maxf,Grip,eo,Qs36,Qs50,Qs36c,Qs50c,Qs36s,Qs50s,Astem,tan(alpha),twstem,twstem/2,OD,ID,twall,J,t,Iy',Sy',ry',sched,Anet36,d1A36,IxA36,SxA36,rxA36,y1A36,ryA36,AnetASTM,d1ASTM,IxASTM,SxASTM,rxASTM,y1ASTM,ryASTM,d/t,ry0,ry1_4,ry3_8,ry1_2,ry5_8,ry3_4,d/Af,rT,Fy'',Cw,Fy',Cc50',Cc36',a,Wno,Sw,Qf,Qw,B,Ht / t,Ht,tnom,tdes,b / t,C,ro,H,ddet,bfdet,twdet,tfdet,kdes,kdet,B/t,Sz,Qs
ASD7,WT 4x14,0,WT,WT 4x14,4.03,0,4.11,0,0,6.54,0.463,0,0,0,0,0,0,0,0,4.22,0,1.28,1.01,0.735,0,10.8,0,3.3,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 4x12,0,WT,WT 4x12,3.97,0,3.53,0,0,6.5,0.398,0,0,0,0,0,0,0,0,3.53,0,1.08,1,0.695,0,9.12,0,2.8,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 4x10,0,WT,WT 4x10,4.07,0,2.95,0,0,5.268,0.378,0,0,0,0,0,0,0,0,3.67,0,1.13,1.12,0.825,0,4.61,0,1.75,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 4x8.5,0,WT,WT 4x8.5,4,0,2.5,0,0,5.25,0.308,0,0,0,0,0,0,0,0,3.21,0,1.02,1.13,0.835,0,3.72,0,1.42,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 4x7.5,0,WT,WT 4x7.5,4.06,0,2.22,0,0,4.015,0.314,0,0,0,0,0,0,0,0,3.29,0,1.07,1.22,1,0,1.7,0,0.847,0.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 4x6.5,0,WT,WT 4x6.5,4,0,1.92,0,0,4,0.254,0,0,0,0,0,0,0,0,2.9,0,0.976,1.23,1.03,0,1.36,0,0.68,0.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 4x5,0,WT,WT 4x5,3.95,0,1.48,0,0,3.94,0.204,0,0,0,0,0,0,0,0,2.15,0,0.719,1.21,0.957,0,1.04,0,0.529,0.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 3x12.5,0,WT,WT 3x12.5,3.19,0,3.67,0,0,6.08,0.456,0,0,0,0,0,0,0,0,2.27,0,0.883,0.787,0.609,0,8.55,0,2.81,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 3x10,0,WT,WT 3x10,3.1,0,2.94,0,0,6.018,0.367,0,0,0,0,0,0,0,0,1.75,0,0.688,0.771,0.557,0,6.67,0,2.22,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 3x7.75,0,WT,WT 3x7.75,3,0,2.28,0,0,5.995,0.269,0,0,0,0,0,0,0,0,1.44,0,0.591,0.795,0.559,0,4.83,0,1.61,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 3x8,0,WT,WT 3x8,3.13,0,2.36,0,0,4.03,0.404,0,0,0,0,0,0,0,0,1.66,0,0.679,0.839,0.673,0,2.21,0,1.1,0.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 3x6,0,WT,WT 3x6,3,0,1.77,0,0,4,0.279,0,0,0,0,0,0,0,0,1.3,0,0.558,0.857,0.673,0,1.49,0,0.746,0.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 3x4.25,0,WT,WT 3x4.25,2.92,0,1.25,0,0,3.94,0.194,0,0,0,0,0,0,0,0,0.904,0,0.397,0.849,0.638,0,0.99,0,0.503,0.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 2.5x9.25,0,WT,WT 2.5x9.25,2.56,0,2.72,0,0,5.025,0.42,0,0,0,0,0,0,0,0,0.98,0,0.471,0.601,0.481,0,4.45,0,1.77,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 2.5x8,0,WT,WT 2.5x8,2.5,0,2.35,0,0,5,0.36,0,0,0,0,0,0,0,0,0.84,0,0.411,0.598,0.457,0,3.75,0,1.5,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,WT 2x6.5,0,WT,WT 2x6.5,2.08,0,1.91,0,0,4.06,0.345,0,0,0,0,0,0,0,0,0.526,0,0.321,0.524,0.44,0,1.88,0,0.926,0.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,2L 9x4x1,0,2L,2L 9x4x1,0,81.6,24,0,0,0,0,0,0,0,0,0,0,0,0,194,0,35.3,2.84,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,1.51,1.55,1.6,1.65,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,2L 9x4x0.875,0,2L,2L 9x4x0.875,0,72.2,21.2,0,0,0,0,0,0,0,0,0,0,0,0,173,0,31.3,2.86,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,1.48,1.52,1.57,1.62,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,2L 9x4x0.75,0,2L,2L 9x4x0.75,0,62.6,18.4,0,0,0,0,0,0,0,0,0,0,0,0,152,0,27.2,2.88,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,1.45,1.5,1.54,1.59,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,2L 9x4x0.625,0,2L,2L 9x4x0.625,0,52.6,15.5,0,0,0,0,0,0,0,0,0,0,0,0,129,0,23,2.9,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,1.43,1.47,1.52,1.56,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,2L 9x4x0.5625,0,2L,2L 9x4x0.5625,0,47.6,14,0,0,0,0,0,0,0,0,0,0,0,0,118,0,20.9,2.91,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.42,1.46,1.51,1.55,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD7,2L 9x4x0.5,0,2L,2L 9x4x0.5,0,42.6,12.5,0,0,0,0,0,0,0,0,0,0,0,0,106,0,18.7,2.92,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,1.41,1.45,1.49,1.54,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
